Frame,Agent_Type,Agent_ID,X,Y
16,Sheep,4,167.22330320467643,70.95589942958958
16,Sheep,5,179.9538976524579,85.73344635650439
16,Sheep,6,170.07620054592704,71.86249777140193
16,Sheep,7,179.1321290665939,59.72851562859771
16,Sheep,8,177.64073959093173,82.64254329109374
16,Sheep,9,169.07026347523754,71.51300867469263
16,Sheep,10,170.98210298286733,68.52480027381546
16,Sheep,11,163.03120343822889,77.52669577309644
16,Sheep,12,159.5595167747066,75.98137936467774
16,Sheep,13,166.82163080118357,69.76556587060166
16,Sheep,14,158.15888015621084,81.5017912664031
16,Sheep,15,168.6083527579115,70.71931913856844
16,Sheep,16,168.47398437516793,71.32379865406442
16,Sheep,17,154.33009099888983,73.78494168026134
16,Sheep,18,180.21149845755042,63.20555360945827
16,Sheep,19,169.66284581028378,72.48238651857187
17,Dog,0,154.40761883518005,126.9768160095031
17,Sheep,0,168.97606496131746,69.84397342198453
17,Sheep,1,169.60467026439258,70.39223744105648
17,Sheep,2,164.47369616078146,78.05344379482678
17,Sheep,3,173.57519673773288,71.49583997455413
17,Sheep,4,168.15035163166448,71.33083845883506
17,Sheep,5,179.47994880458185,84.852894801905
17,Sheep,6,171.06137627992828,71.6909553755134
17,Sheep,7,178.48031608466974,60.48689433319529
17,Sheep,8,177.17529000611628,81.75746976008993
17,Sheep,9,168.90825930289571,70.52621956644276
17,Sheep,10,171.54111497326903,67.7259180668377
17,Sheep,11,163.62782668752203,76.72417532108875
17,Sheep,12,160.3687743467246,75.39392674096904
17,Sheep,13,167.5685367261078,70.4304941374766
17,Sheep,14,158.79447321861153,80.72976795895046
17,Sheep,15,168.36898179226418,69.74839195359067
17,Sheep,16,168.61657255155467,72.24679631619797
17,Sheep,17,155.28304298959102,73.48182292625577
17,Sheep,18,179.40208071611795,63.79278550633057
17,Sheep,19,169.99170610383896,72.22498648209285
18,Dog,0,155.24077090318164,125.9788893430668
18,Sheep,0,169.0450766784845,68.84635854642437
18,Sheep,1,170.33587279731617,69.71007842317228
18,Sheep,2,164.95494459073174,77.17686046590643
18,Sheep,3,172.58745477430665,71.33975044771297
18,Sheep,4,169.1013829894189,71.63992969382731
18,Sheep,5,179.02138366230517,83.96423482904194
18,Sheep,6,172.03284561939694,71.45379440940744
18,Sheep,7,177.8232457397081,61.240722527925726
18,Sheep,8,176.7271629049823,80.86350076885549
18,Sheep,9,168.77749762458825,69.53480670730333
18,Sheep,10,172.0750265911466,66.94584741014071
18,Sheep,11,164.22113088465656,75.91919799755054
18,Sheep,12,161.17116546127383,74.79712955025052
18,Sheep,13,168.3565568889788,71.04614196535884
18,Sheep,14,159.42681864056206,79.95508235654712
18,Sheep,15,168.16893995863902,68.76860559937849
18,Sheep,16,168.7920903165339,73.09016358773721
18,Sheep,17,156.2306118840456,73.16227378993726
18,Sheep,18,178.58426893277363,64.36826984985089
18,Sheep,19,170.32791823284384,71.88951404685608
19,Dog,0,156.0723042136043,124.97961342838781
19,Sheep,0,169.13881495368514,67.85076265909049
19,Sheep,1,171.05202672582735,69.01213745169564
19,Sheep,2,165.4350871450812,76.29967092179272
19,Sheep,3,171.61015631630522,71.127887713796
19,Sheep,4,170.07405407358345,71.87211275455131
19,Sheep,5,178.57904926296374,83.06738545319735
19,Sheep,6,172.9769992641191,71.1474844482054
19,Sheep,7,177.1598862642131,61.98902230180586
